period,business_slice_name,trips,revenue,drivers,ticket,tpd,grain,source
2026-04-13,Tuk Tuk,6592,782.2440,93,3.9555218446601942,70.8817204301075269,week,V1
2026-04-13,YMA,5234,2108.5410,44,13.4284868169659916,118.9545454545454545,week,V1
2026-04-20,Auto regular,809919,380114.8650,31095,15.6344767810114345,26.0465991316931983,week,V1
2026-04-20,Carga,165,434.7760,38,65.8751515151515152,4.3421052631578947,week,V1
2026-04-20,Delivery,2470,997.7052,130,13.4643076923076923,19.0000000000000000,week,V1
2026-04-20,PRO,3442,1015.8900,26,9.8381754793724579,132.3846153846153846,week,V1
2026-04-20,Tuk Tuk,7384,862.3200,84,3.8927410617551463,87.9047619047619048,week,V1
2026-04-20,YMA,4940,1983.8730,49,13.3864574898785425,100.8163265306122449,week,V1
2026-01-01,Auto regular,434081,,4913,14.8660704618283769,88.3535518013433747,month,V1
2026-01-01,Carga,1179,,104,67.5971162001696353,11.3365384615384615,month,V1
2026-01-01,Delivery,8512,,136,10.4236771616541353,62.5882352941176471,month,V1
2026-01-01,PRO,19500,,56,10.0357128205128205,348.2142857142857143,month,V1
2026-01-01,Tuk Tuk,24915,,106,3.7531647601846277,235.0471698113207547,month,V1
2026-01-01,YMA,12132,,41,12.7579788987800857,295.9024390243902439,month,V1
2026-02-01,Auto regular,399355,,4967,15.8493464445078802,80.4016508959130260,month,V1
2026-02-01,Carga,1387,,94,74.9842105263157895,14.7553191489361702,month,V1
2026-02-01,Delivery,7528,,153,9.6918663655685441,49.2026143790849673,month,V1
2026-02-01,PRO,17012,,42,10.2182988478720903,405.0476190476190476,month,V1
2026-02-01,Tuk Tuk,26377,,129,3.9573112939303181,204.4728682170542636,month,V1
2026-02-01,YMA,14497,,46,13.4378078223080637,315.1521739130434783,month,V1
2026-03-01,Auto regular,395820,199560.34450,5749,16.7917075943610732,68.8502348234475561,month,V1
2026-03-01,Carga,1324,3594.3420,93,68.6429758308157100,14.2365591397849462,month,V1
2026-03-01,Delivery,10255,3265.50610,273,10.1652106495026331,37.5641025641025641,month,V1
2026-03-01,PRO,17238,5574.8520,42,10.7780542986425339,410.4285714285714286,month,V1
2026-03-01,Tuk Tuk,28027,NaN,147,NaN,190.6598639455782313,month,V1
2026-03-01,YMA,15372,6306.8440,52,13.6743104345563362,295.6153846153846154,month,V1
2026-04-01,Auto regular,380698,179654.8020,5496,15.7190704968242544,69.2681950509461426,month,V1
2026-04-01,Carga,740,2004.3760,72,67.7882432432432432,10.2777777777777778,month,V1
2026-04-01,Delivery,9932,3546.5649,282,11.9028221908981071,35.2198581560283688,month,V1
2026-04-01,PRO,14798,4455.9690,36,10.0373226111636708,411.0555555555555556,month,V1
2026-04-01,Tuk Tuk,29870,3566.2080,162,3.9796986943421493,184.3827160493827160,month,V1
2026-04-01,YMA,20714,8185.8580,56,13.1714202954523511,369.8928571428571429,month,V1
2026-05-01,Auto regular,373681,181630.0060,5087,16.1911159518412764,73.4580302732455278,month,V1
2026-05-01,Carga,799,2196.7580,71,68.8280350438047559,11.2535211267605634,month,V1
2026-05-01,Delivery,10114,3143.1081,293,10.3650840918084685,34.5187713310580205,month,V1
2026-05-01,PRO,14484,4467.9600,33,10.2832286128564524,438.9090909090909091,month,V1
2026-05-01,Tuk Tuk,31836,3663.0930,135,3.8353781882145998,235.8222222222222222,month,V1
2026-05-01,YMA,24755,10122.3440,60,13.6268147848919410,412.5833333333333333,month,V1
2026-06-01,Auto regular,31469,14233.2700,2189,15.0618322793860625,14.3759707629054363,month,V1
2026-06-01,Carga,56,142.7490,23,63.8696428571428571,2.4347826086956522,month,V1
2026-06-01,Delivery,923,287.6820,78,10.3893824485373781,11.8333333333333333,month,V1
2026-06-01,PRO,1257,367.5270,24,9.7461416070007955,52.3750000000000000,month,V1
2026-06-01,Tuk Tuk,3692,417.6570,62,3.7708288190682557,59.5483870967741935,month,V1
2026-06-01,YMA,1779,702.1770,47,13.1567734682405846,37.8510638297872340,month,V1
